Teacher, Class, Subject
ca7b8bf0-91b5-4b41-bcb7-a9e903a405db, dc5d4c4b-0a74-4133-b29e-03e81cee8aee, d1aa99fb-74bb-4241-9b07-89dc86ed2f44
ca7b8bf0-91b5-4b41-bcb7-a9e903a405db, e8aefbe7-6b9f-4bdb-9b6f-8df57c93cc62, 21a7bbdd-bf36-4de6-8dfe-7e4fc823d270
ca7b8bf0-91b5-4b41-bcb7-a9e903a405db, e06e306e-e49f-4048-9ca9-ec5aeeab70bd, 01da137e-2027-4558-a401-d5db02e23938
ca7b8bf0-91b5-4b41-bcb7-a9e903a405db, 4dbe1f69-0536-4e1c-be7f-9058acc6bc5a, 21a7bbdd-bf36-4de6-8dfe-7e4fc823d270
ca7b8bf0-91b5-4b41-bcb7-a9e903a405db, e06e306e-e49f-4048-9ca9-ec5aeeab70bd, 01da137e-2027-4558-a401-d5db02e23938
ca7b8bf0-91b5-4b41-bcb7-a9e903a405db, ef3f5d48-5e67-4052-89a6-0c28415f19dd, 01da137e-2027-4558-a401-d5db02e23938
ca7b8bf0-91b5-4b41-bcb7-a9e903a405db, 93ebd2f0-1b93-42d3-aac1-8b22e79ef00f, d1aa99fb-74bb-4241-9b07-89dc86ed2f44
ca7b8bf0-91b5-4b41-bcb7-a9e903a405db, 97a2e253-a0ae-422d-95c7-a773f5597b77, d1aa99fb-74bb-4241-9b07-89dc86ed2f44
231ea176-ca44-4917-a163-c791c2ecbe23, 337630ae-72c7-4418-9a94-f76fb3878c34, d1aa99fb-74bb-4241-9b07-89dc86ed2f44
231ea176-ca44-4917-a163-c791c2ecbe23, 805c6a01-91ce-422e-90e2-20e999beed03, 21a7bbdd-bf36-4de6-8dfe-7e4fc823d270
231ea176-ca44-4917-a163-c791c2ecbe23, 805c6a01-91ce-422e-90e2-20e999beed03, 21a7bbdd-bf36-4de6-8dfe-7e4fc823d270
231ea176-ca44-4917-a163-c791c2ecbe23, dc5d4c4b-0a74-4133-b29e-03e81cee8aee, d1aa99fb-74bb-4241-9b07-89dc86ed2f44
231ea176-ca44-4917-a163-c791c2ecbe23, 05d2ac22-b5bb-4b47-aaba-1ed92ef57332, d1aa99fb-74bb-4241-9b07-89dc86ed2f44
8db4dfa1-62cd-49eb-a126-7cad10082152, 4429f220-4a59-4397-b791-40d6f4e9743f, 7572d0c1-9080-45cb-bbfb-a2f2ffa590e6
8db4dfa1-62cd-49eb-a126-7cad10082152, 96225c58-c8a8-4ab1-9c4a-55793bba75af, 170e0c7f-98bf-49f1-b92f-5021f9d754d6
8db4dfa1-62cd-49eb-a126-7cad10082152, 805c6a01-91ce-422e-90e2-20e999beed03, 170e0c7f-98bf-49f1-b92f-5021f9d754d6
8db4dfa1-62cd-49eb-a126-7cad10082152, 653e4a0e-9c45-48e9-9c82-23a38e841f9f, e1bb5e81-7f7e-431f-82e7-5126d1d76fdf
8db4dfa1-62cd-49eb-a126-7cad10082152, 805c6a01-91ce-422e-90e2-20e999beed03, 170e0c7f-98bf-49f1-b92f-5021f9d754d6
3b8c8477-3546-4ff8-a31c-d2cdc90943e3, 805c6a01-91ce-422e-90e2-20e999beed03, 9d16bc7a-0e2b-4fd9-a87b-30882d1ec127
3b8c8477-3546-4ff8-a31c-d2cdc90943e3, 2bfe8767-d6e2-4d2a-966b-dbd372da0635, e1132a9b-1cf6-4bc7-9d6f-34192b9dcb7a
3b8c8477-3546-4ff8-a31c-d2cdc90943e3, 653e4a0e-9c45-48e9-9c82-23a38e841f9f, e1132a9b-1cf6-4bc7-9d6f-34192b9dcb7a
3b8c8477-3546-4ff8-a31c-d2cdc90943e3, 79b1baac-830d-459b-af8f-643156b222cf, d4e2e47f-415e-47ed-b059-d1a81225568f
3b8c8477-3546-4ff8-a31c-d2cdc90943e3, 2bfe8767-d6e2-4d2a-966b-dbd372da0635, e1132a9b-1cf6-4bc7-9d6f-34192b9dcb7a
3b8c8477-3546-4ff8-a31c-d2cdc90943e3, 4429f220-4a59-4397-b791-40d6f4e9743f, d4e2e47f-415e-47ed-b059-d1a81225568f
3b8c8477-3546-4ff8-a31c-d2cdc90943e3, dc5d4c4b-0a74-4133-b29e-03e81cee8aee, d4e2e47f-415e-47ed-b059-d1a81225568f
