Teacher, Class, Subject
bdd73a39-29bb-48c7-bb46-4e85078420f5, 79a9d402-4875-4e62-8911-148a97cebe8b, badeae95-c40d-4548-9583-bfeda39a108a
bdd73a39-29bb-48c7-bb46-4e85078420f5, 63c3d0e4-0f29-40be-8806-9b943f6ec3b7, 30b84eaf-c84e-4607-ad0a-9825395ca065
bdd73a39-29bb-48c7-bb46-4e85078420f5, 78180082-8dea-4f86-933d-6190f65b7fc7, badeae95-c40d-4548-9583-bfeda39a108a
bdd73a39-29bb-48c7-bb46-4e85078420f5, ddcd5d62-80e9-430f-beff-c09953b440c4, 16f994c2-cf6c-4b35-b2f5-f9753b274b15
bdd73a39-29bb-48c7-bb46-4e85078420f5, a80932ed-244b-45b5-9a74-df8d3ccf4f13, badeae95-c40d-4548-9583-bfeda39a108a
bdd73a39-29bb-48c7-bb46-4e85078420f5, 2e7e642d-e3b6-4936-9398-c6e4b6b463a1, 16f994c2-cf6c-4b35-b2f5-f9753b274b15
bdd73a39-29bb-48c7-bb46-4e85078420f5, a80932ed-244b-45b5-9a74-df8d3ccf4f13, badeae95-c40d-4548-9583-bfeda39a108a
bdd73a39-29bb-48c7-bb46-4e85078420f5, 79a9d402-4875-4e62-8911-148a97cebe8b, badeae95-c40d-4548-9583-bfeda39a108a
b9dcb40b-5d8b-4be8-80a2-54d31520fbce, 9039dc35-e2d2-48f8-992c-8df0d60bbbdb, d7e1a19f-165c-4f77-af02-3e8a62830e86
b9dcb40b-5d8b-4be8-80a2-54d31520fbce, ec512e11-c505-4627-98e4-d8cc9b502b4d, d7e1a19f-165c-4f77-af02-3e8a62830e86
b9dcb40b-5d8b-4be8-80a2-54d31520fbce, e6c99c5f-46c1-43f5-88f8-94f2863b3b5a, da5ac7b8-4bb2-4c70-beff-66830280f15b
b9dcb40b-5d8b-4be8-80a2-54d31520fbce, ec512e11-c505-4627-98e4-d8cc9b502b4d, d7e1a19f-165c-4f77-af02-3e8a62830e86
d26424b9-854a-484b-941a-227df8389626, ec512e11-c505-4627-98e4-d8cc9b502b4d, 470a39d4-214e-49c7-9bac-c40336548d14
d26424b9-854a-484b-941a-227df8389626, 78180082-8dea-4f86-933d-6190f65b7fc7, 875ab7c2-aa76-48b7-a785-fce7743eafb3
d26424b9-854a-484b-941a-227df8389626, ec512e11-c505-4627-98e4-d8cc9b502b4d, 470a39d4-214e-49c7-9bac-c40336548d14
d26424b9-854a-484b-941a-227df8389626, 63c3d0e4-0f29-40be-8806-9b943f6ec3b7, 9c8aad74-a0c9-4796-affd-e4a7e49b13d9
d26424b9-854a-484b-941a-227df8389626, 9039dc35-e2d2-48f8-992c-8df0d60bbbdb, 470a39d4-214e-49c7-9bac-c40336548d14
d26424b9-854a-484b-941a-227df8389626, e6c99c5f-46c1-43f5-88f8-94f2863b3b5a, 9c8aad74-a0c9-4796-affd-e4a7e49b13d9
99d698ec-22d3-4f14-803a-03d32077c254, 9039dc35-e2d2-48f8-992c-8df0d60bbbdb, 1eaed83c-3b25-4246-bdc8-f586002a4cc7
99d698ec-22d3-4f14-803a-03d32077c254, a3fd934b-9d5d-4667-9ed3-ce3eb2e71efd, 1eaed83c-3b25-4246-bdc8-f586002a4cc7
99d698ec-22d3-4f14-803a-03d32077c254, 9221b470-9765-4a40-9d3b-8311c7edce22, 1eaed83c-3b25-4246-bdc8-f586002a4cc7
99d698ec-22d3-4f14-803a-03d32077c254, a3fd934b-9d5d-4667-9ed3-ce3eb2e71efd, 1eaed83c-3b25-4246-bdc8-f586002a4cc7
99d698ec-22d3-4f14-803a-03d32077c254, 13bb1317-4a93-4d26-82cd-5369ef0ad888, a15ccbea-aab3-4705-aaf2-e8b613e28d9d
666bf698-734b-41fe-a55a-c6d48c4add41, e6c99c5f-46c1-43f5-88f8-94f2863b3b5a, 76015a25-4c2d-4dfd-9024-cd0aacba18c9
666bf698-734b-41fe-a55a-c6d48c4add41, 9039dc35-e2d2-48f8-992c-8df0d60bbbdb, 49504fd7-23e4-41aa-b5b9-c2bc233b3602
666bf698-734b-41fe-a55a-c6d48c4add41, 78180082-8dea-4f86-933d-6190f65b7fc7, a0b08fa1-40eb-4266-abdc-27f20650ed2f
666bf698-734b-41fe-a55a-c6d48c4add41, 84486c7f-a5f5-41f8-aeff-72bb7f42341e, 76015a25-4c2d-4dfd-9024-cd0aacba18c9
666bf698-734b-41fe-a55a-c6d48c4add41, a8aa999b-b551-4abd-91ac-3a65bc0b7cda, a0b08fa1-40eb-4266-abdc-27f20650ed2f
666bf698-734b-41fe-a55a-c6d48c4add41, 78180082-8dea-4f86-933d-6190f65b7fc7, a0b08fa1-40eb-4266-abdc-27f20650ed2f
666bf698-734b-41fe-a55a-c6d48c4add41, 4cf3d912-2eec-4ed9-9596-a2fb058bd2ee, 49504fd7-23e4-41aa-b5b9-c2bc233b3602
666bf698-734b-41fe-a55a-c6d48c4add41, 6d13c8ae-c415-439c-9c92-808c0ec8eda2, a0b08fa1-40eb-4266-abdc-27f20650ed2f
666bf698-734b-41fe-a55a-c6d48c4add41, a80932ed-244b-45b5-9a74-df8d3ccf4f13, a0b08fa1-40eb-4266-abdc-27f20650ed2f
