SubjectUUID, StudentUUID, Grade
80cf5bb5-2aba-4930-ba66-ebf4891a8d2d, 80cf5bb5-2aba-4930-ba66-ebf4891a8d2d, 8.42
80cf5bb5-2aba-4930-ba66-ebf4891a8d2d, 80cf5bb5-2aba-4930-ba66-ebf4891a8d2d, 4.69
80cf5bb5-2aba-4930-ba66-ebf4891a8d2d, 80cf5bb5-2aba-4930-ba66-ebf4891a8d2d, 4.92
80cf5bb5-2aba-4930-ba66-ebf4891a8d2d, 80cf5bb5-2aba-4930-ba66-ebf4891a8d2d, 5.92
80cf5bb5-2aba-4930-ba66-ebf4891a8d2d, 80cf5bb5-2aba-4930-ba66-ebf4891a8d2d, 9.69
80cf5bb5-2aba-4930-ba66-ebf4891a8d2d, 80cf5bb5-2aba-4930-ba66-ebf4891a8d2d, 3.63
80cf5bb5-2aba-4930-ba66-ebf4891a8d2d, 80cf5bb5-2aba-4930-ba66-ebf4891a8d2d, 8.42
80cf5bb5-2aba-4930-ba66-ebf4891a8d2d, 80cf5bb5-2aba-4930-ba66-ebf4891a8d2d, 5.92
eb74bf14-4d20-4670-9fbe-ac7f493744bd, eb74bf14-4d20-4670-9fbe-ac7f493744bd, 4.49
eb74bf14-4d20-4670-9fbe-ac7f493744bd, eb74bf14-4d20-4670-9fbe-ac7f493744bd, 4.84
eb74bf14-4d20-4670-9fbe-ac7f493744bd, eb74bf14-4d20-4670-9fbe-ac7f493744bd, 8.88
eb74bf14-4d20-4670-9fbe-ac7f493744bd, eb74bf14-4d20-4670-9fbe-ac7f493744bd, 4.21
eb74bf14-4d20-4670-9fbe-ac7f493744bd, eb74bf14-4d20-4670-9fbe-ac7f493744bd, 0.92
eb74bf14-4d20-4670-9fbe-ac7f493744bd, eb74bf14-4d20-4670-9fbe-ac7f493744bd, 9.11
eb74bf14-4d20-4670-9fbe-ac7f493744bd, eb74bf14-4d20-4670-9fbe-ac7f493744bd, 2.93
eb74bf14-4d20-4670-9fbe-ac7f493744bd, eb74bf14-4d20-4670-9fbe-ac7f493744bd, 1.93
b7ae11c7-2eb7-411f-8312-c3a18a84bf96, b7ae11c7-2eb7-411f-8312-c3a18a84bf96, 8.6
b7ae11c7-2eb7-411f-8312-c3a18a84bf96, b7ae11c7-2eb7-411f-8312-c3a18a84bf96, 7.19
b7ae11c7-2eb7-411f-8312-c3a18a84bf96, b7ae11c7-2eb7-411f-8312-c3a18a84bf96, 8.5
b7ae11c7-2eb7-411f-8312-c3a18a84bf96, b7ae11c7-2eb7-411f-8312-c3a18a84bf96, 2.39
b7ae11c7-2eb7-411f-8312-c3a18a84bf96, b7ae11c7-2eb7-411f-8312-c3a18a84bf96, 2.21
b7ae11c7-2eb7-411f-8312-c3a18a84bf96, b7ae11c7-2eb7-411f-8312-c3a18a84bf96, 8.16
b7ae11c7-2eb7-411f-8312-c3a18a84bf96, b7ae11c7-2eb7-411f-8312-c3a18a84bf96, 8.07
b7ae11c7-2eb7-411f-8312-c3a18a84bf96, b7ae11c7-2eb7-411f-8312-c3a18a84bf96, 6.51
2526ae20-e69d-4392-a0a6-1eb0eaf1dc40, 2526ae20-e69d-4392-a0a6-1eb0eaf1dc40, 3.66
2526ae20-e69d-4392-a0a6-1eb0eaf1dc40, 2526ae20-e69d-4392-a0a6-1eb0eaf1dc40, 6.02
2526ae20-e69d-4392-a0a6-1eb0eaf1dc40, 2526ae20-e69d-4392-a0a6-1eb0eaf1dc40, 4.2
2526ae20-e69d-4392-a0a6-1eb0eaf1dc40, 2526ae20-e69d-4392-a0a6-1eb0eaf1dc40, 0.98
2526ae20-e69d-4392-a0a6-1eb0eaf1dc40, 2526ae20-e69d-4392-a0a6-1eb0eaf1dc40, 1.34
2526ae20-e69d-4392-a0a6-1eb0eaf1dc40, 2526ae20-e69d-4392-a0a6-1eb0eaf1dc40, 2.6
2526ae20-e69d-4392-a0a6-1eb0eaf1dc40, 2526ae20-e69d-4392-a0a6-1eb0eaf1dc40, 6.48
2526ae20-e69d-4392-a0a6-1eb0eaf1dc40, 2526ae20-e69d-4392-a0a6-1eb0eaf1dc40, 3.57
a014d677-9e54-4377-822a-65b31be2848f, a014d677-9e54-4377-822a-65b31be2848f, 7.35
a014d677-9e54-4377-822a-65b31be2848f, a014d677-9e54-4377-822a-65b31be2848f, 7.76
a014d677-9e54-4377-822a-65b31be2848f, a014d677-9e54-4377-822a-65b31be2848f, 2.17
a014d677-9e54-4377-822a-65b31be2848f, a014d677-9e54-4377-822a-65b31be2848f, 0.82
a014d677-9e54-4377-822a-65b31be2848f, a014d677-9e54-4377-822a-65b31be2848f, 6.18
a014d677-9e54-4377-822a-65b31be2848f, a014d677-9e54-4377-822a-65b31be2848f, 0.04
a014d677-9e54-4377-822a-65b31be2848f, a014d677-9e54-4377-822a-65b31be2848f, 1.5
a014d677-9e54-4377-822a-65b31be2848f, a014d677-9e54-4377-822a-65b31be2848f, 9.61
169ff13e-2e6b-473c-98c1-340ac7b56f76, 169ff13e-2e6b-473c-98c1-340ac7b56f76, 4.29
169ff13e-2e6b-473c-98c1-340ac7b56f76, 169ff13e-2e6b-473c-98c1-340ac7b56f76, 2.95
169ff13e-2e6b-473c-98c1-340ac7b56f76, 169ff13e-2e6b-473c-98c1-340ac7b56f76, 6.57
169ff13e-2e6b-473c-98c1-340ac7b56f76, 169ff13e-2e6b-473c-98c1-340ac7b56f76, 7.18
169ff13e-2e6b-473c-98c1-340ac7b56f76, 169ff13e-2e6b-473c-98c1-340ac7b56f76, 8.67
169ff13e-2e6b-473c-98c1-340ac7b56f76, 169ff13e-2e6b-473c-98c1-340ac7b56f76, 8.49
169ff13e-2e6b-473c-98c1-340ac7b56f76, 169ff13e-2e6b-473c-98c1-340ac7b56f76, 3.45
169ff13e-2e6b-473c-98c1-340ac7b56f76, 169ff13e-2e6b-473c-98c1-340ac7b56f76, 9.79
29296d33-b2ab-4f63-a11a-02b4e84a38b0, 29296d33-b2ab-4f63-a11a-02b4e84a38b0, 2.82
29296d33-b2ab-4f63-a11a-02b4e84a38b0, 29296d33-b2ab-4f63-a11a-02b4e84a38b0, 9.17
29296d33-b2ab-4f63-a11a-02b4e84a38b0, 29296d33-b2ab-4f63-a11a-02b4e84a38b0, 7.91
29296d33-b2ab-4f63-a11a-02b4e84a38b0, 29296d33-b2ab-4f63-a11a-02b4e84a38b0, 6.63
29296d33-b2ab-4f63-a11a-02b4e84a38b0, 29296d33-b2ab-4f63-a11a-02b4e84a38b0, 5.8
29296d33-b2ab-4f63-a11a-02b4e84a38b0, 29296d33-b2ab-4f63-a11a-02b4e84a38b0, 5.73
29296d33-b2ab-4f63-a11a-02b4e84a38b0, 29296d33-b2ab-4f63-a11a-02b4e84a38b0, 7.9
