UUID, Name
288b2065-a67b-44fc-a026-f1df1e2b6b41, Toán
742c26cc-3671-4c93-9118-ce057327f2ee, Vật Lý
25266da1-1e3a-4ba6-8bb9-09b8ab8173e6, Hóa Học
4fa64d6e-1481-4138-8129-87d3f08ce7db, Sinh Học
8759199c-bfe9-438f-8188-40e50cf873d9, Ngữ Văn
bdf90d48-e5ec-46ae-adce-1d4a8c5c2dad, Tiếng Anh
d9b871fc-edd2-4f25-800a-ee5141bdc0c2, Tin Học
79c50aa5-e3ab-4f04-9d6f-0e2458466888, Lịch Sử
d672b1f4-5943-4a1c-a36e-a7bc298e6438, Địa Lý
3fb68dc5-3aa2-432c-bcc1-442c90e2b7f8, Giáo Dục Công Dân
b6b18ebf-1b00-46ff-927d-634c2e2ebc02, Giáo Dục Quốc Phòng
adec535c-6de3-4372-be38-8ec7bb498730, Thể Dục
0985b02e-aefb-4426-a4e2-fa9a62ce51d9, Công Nghệ
fb452584-60ee-4a7b-9727-966f15c66114, Tiếng Đức
