Level, Field, Name
7f9a5169-6661-431b-aa30-f0d57f0c9226, 288b2065-a67b-44fc-a026-f1df1e2b6b41, Toán 10
7f9a5169-6661-431b-aa30-f0d57f0c9226, 742c26cc-3671-4c93-9118-ce057327f2ee, Vật Lý 10
7f9a5169-6661-431b-aa30-f0d57f0c9226, 25266da1-1e3a-4ba6-8bb9-09b8ab8173e6, Hóa Học 10
7f9a5169-6661-431b-aa30-f0d57f0c9226, 4fa64d6e-1481-4138-8129-87d3f08ce7db, Sinh Học 10
7f9a5169-6661-431b-aa30-f0d57f0c9226, 8759199c-bfe9-438f-8188-40e50cf873d9, Ngữ Văn 10
7f9a5169-6661-431b-aa30-f0d57f0c9226, bdf90d48-e5ec-46ae-adce-1d4a8c5c2dad, Tiếng Anh 10
7f9a5169-6661-431b-aa30-f0d57f0c9226, d9b871fc-edd2-4f25-800a-ee5141bdc0c2, Tin Học 10
7f9a5169-6661-431b-aa30-f0d57f0c9226, 79c50aa5-e3ab-4f04-9d6f-0e2458466888, Lịch Sử 10
7f9a5169-6661-431b-aa30-f0d57f0c9226, d672b1f4-5943-4a1c-a36e-a7bc298e6438, Địa Lý 10
7f9a5169-6661-431b-aa30-f0d57f0c9226, 3fb68dc5-3aa2-432c-bcc1-442c90e2b7f8, Giáo Dục Công Dân 10
7f9a5169-6661-431b-aa30-f0d57f0c9226, b6b18ebf-1b00-46ff-927d-634c2e2ebc02, Giáo Dục Quốc Phòng 10
7f9a5169-6661-431b-aa30-f0d57f0c9226, adec535c-6de3-4372-be38-8ec7bb498730, Thể Dục 10
7f9a5169-6661-431b-aa30-f0d57f0c9226, 0985b02e-aefb-4426-a4e2-fa9a62ce51d9, Công Nghệ 10
7f9a5169-6661-431b-aa30-f0d57f0c9226, fb452584-60ee-4a7b-9727-966f15c66114, Tiếng Đức 10
296ba817-e121-43ac-9e2d-775c661be0a6, 288b2065-a67b-44fc-a026-f1df1e2b6b41, Toán 11
296ba817-e121-43ac-9e2d-775c661be0a6, 742c26cc-3671-4c93-9118-ce057327f2ee, Vật Lý 11
296ba817-e121-43ac-9e2d-775c661be0a6, 25266da1-1e3a-4ba6-8bb9-09b8ab8173e6, Hóa Học 11
296ba817-e121-43ac-9e2d-775c661be0a6, 4fa64d6e-1481-4138-8129-87d3f08ce7db, Sinh Học 11
296ba817-e121-43ac-9e2d-775c661be0a6, 8759199c-bfe9-438f-8188-40e50cf873d9, Ngữ Văn 11
296ba817-e121-43ac-9e2d-775c661be0a6, bdf90d48-e5ec-46ae-adce-1d4a8c5c2dad, Tiếng Anh 11
296ba817-e121-43ac-9e2d-775c661be0a6, d9b871fc-edd2-4f25-800a-ee5141bdc0c2, Tin Học 11
296ba817-e121-43ac-9e2d-775c661be0a6, 79c50aa5-e3ab-4f04-9d6f-0e2458466888, Lịch Sử 11
296ba817-e121-43ac-9e2d-775c661be0a6, d672b1f4-5943-4a1c-a36e-a7bc298e6438, Địa Lý 11
296ba817-e121-43ac-9e2d-775c661be0a6, 3fb68dc5-3aa2-432c-bcc1-442c90e2b7f8, Giáo Dục Công Dân 11
296ba817-e121-43ac-9e2d-775c661be0a6, b6b18ebf-1b00-46ff-927d-634c2e2ebc02, Giáo Dục Quốc Phòng 11
296ba817-e121-43ac-9e2d-775c661be0a6, adec535c-6de3-4372-be38-8ec7bb498730, Thể Dục 11
296ba817-e121-43ac-9e2d-775c661be0a6, 0985b02e-aefb-4426-a4e2-fa9a62ce51d9, Công Nghệ 11
296ba817-e121-43ac-9e2d-775c661be0a6, fb452584-60ee-4a7b-9727-966f15c66114, Tiếng Đức 11
683a6538-9c0c-4cce-ab96-1d05876d8605, 288b2065-a67b-44fc-a026-f1df1e2b6b41, Toán 12
683a6538-9c0c-4cce-ab96-1d05876d8605, 742c26cc-3671-4c93-9118-ce057327f2ee, Vật Lý 12
683a6538-9c0c-4cce-ab96-1d05876d8605, 25266da1-1e3a-4ba6-8bb9-09b8ab8173e6, Hóa Học 12
683a6538-9c0c-4cce-ab96-1d05876d8605, 4fa64d6e-1481-4138-8129-87d3f08ce7db, Sinh Học 12
683a6538-9c0c-4cce-ab96-1d05876d8605, 8759199c-bfe9-438f-8188-40e50cf873d9, Ngữ Văn 12
683a6538-9c0c-4cce-ab96-1d05876d8605, bdf90d48-e5ec-46ae-adce-1d4a8c5c2dad, Tiếng Anh 12
683a6538-9c0c-4cce-ab96-1d05876d8605, d9b871fc-edd2-4f25-800a-ee5141bdc0c2, Tin Học 12
683a6538-9c0c-4cce-ab96-1d05876d8605, 79c50aa5-e3ab-4f04-9d6f-0e2458466888, Lịch Sử 12
683a6538-9c0c-4cce-ab96-1d05876d8605, d672b1f4-5943-4a1c-a36e-a7bc298e6438, Địa Lý 12
683a6538-9c0c-4cce-ab96-1d05876d8605, 3fb68dc5-3aa2-432c-bcc1-442c90e2b7f8, Giáo Dục Công Dân 12
683a6538-9c0c-4cce-ab96-1d05876d8605, b6b18ebf-1b00-46ff-927d-634c2e2ebc02, Giáo Dục Quốc Phòng 12
683a6538-9c0c-4cce-ab96-1d05876d8605, adec535c-6de3-4372-be38-8ec7bb498730, Thể Dục 12
683a6538-9c0c-4cce-ab96-1d05876d8605, 0985b02e-aefb-4426-a4e2-fa9a62ce51d9, Công Nghệ 12
683a6538-9c0c-4cce-ab96-1d05876d8605, fb452584-60ee-4a7b-9727-966f15c66114, Tiếng Đức 12
