Teacher, Class, Subject
d52c419e-92ae-4731-977a-f261a1cc0520, d62ee722-8868-46a3-863a-f60b51eccd96, 8f3af104-ece6-480b-b59b-1a786a803eb8
d52c419e-92ae-4731-977a-f261a1cc0520, d62ee722-8868-46a3-863a-f60b51eccd96, 8f3af104-ece6-480b-b59b-1a786a803eb8
d52c419e-92ae-4731-977a-f261a1cc0520, 96f210d3-aa70-4c81-a3e7-86e8675c7dcc, c9bc6bfc-0902-419e-8c47-78ec67ae77ff
d52c419e-92ae-4731-977a-f261a1cc0520, 446e3d82-43de-421e-a396-7bfcc01883f8, 4f78f766-2713-47e3-8aec-0f2b0249cf8b
d52c419e-92ae-4731-977a-f261a1cc0520, 96f210d3-aa70-4c81-a3e7-86e8675c7dcc, c9bc6bfc-0902-419e-8c47-78ec67ae77ff
d52c419e-92ae-4731-977a-f261a1cc0520, d62ee722-8868-46a3-863a-f60b51eccd96, 8f3af104-ece6-480b-b59b-1a786a803eb8
d52c419e-92ae-4731-977a-f261a1cc0520, 446e3d82-43de-421e-a396-7bfcc01883f8, 4f78f766-2713-47e3-8aec-0f2b0249cf8b
d52c419e-92ae-4731-977a-f261a1cc0520, 446e3d82-43de-421e-a396-7bfcc01883f8, 4f78f766-2713-47e3-8aec-0f2b0249cf8b
705ac976-c5e1-44b3-a2bc-d0402332e231, 96f210d3-aa70-4c81-a3e7-86e8675c7dcc, 562bf717-8a19-4f3c-ab2f-e11f947a0e89
705ac976-c5e1-44b3-a2bc-d0402332e231, d62ee722-8868-46a3-863a-f60b51eccd96, c9fdcf2d-1014-4c9e-981c-10c81cf80bee
705ac976-c5e1-44b3-a2bc-d0402332e231, d62ee722-8868-46a3-863a-f60b51eccd96, c9fdcf2d-1014-4c9e-981c-10c81cf80bee
705ac976-c5e1-44b3-a2bc-d0402332e231, 96f210d3-aa70-4c81-a3e7-86e8675c7dcc, 562bf717-8a19-4f3c-ab2f-e11f947a0e89
705ac976-c5e1-44b3-a2bc-d0402332e231, 446e3d82-43de-421e-a396-7bfcc01883f8, cf8399a0-c8da-4241-9996-24bef1651c2f
705ac976-c5e1-44b3-a2bc-d0402332e231, d62ee722-8868-46a3-863a-f60b51eccd96, c9fdcf2d-1014-4c9e-981c-10c81cf80bee
705ac976-c5e1-44b3-a2bc-d0402332e231, 96f210d3-aa70-4c81-a3e7-86e8675c7dcc, 562bf717-8a19-4f3c-ab2f-e11f947a0e89
705ac976-c5e1-44b3-a2bc-d0402332e231, 96f210d3-aa70-4c81-a3e7-86e8675c7dcc, 562bf717-8a19-4f3c-ab2f-e11f947a0e89
d3400712-9910-4bff-9565-7c707e1c9e0c, 96f210d3-aa70-4c81-a3e7-86e8675c7dcc, 562bf717-8a19-4f3c-ab2f-e11f947a0e89
d3400712-9910-4bff-9565-7c707e1c9e0c, d62ee722-8868-46a3-863a-f60b51eccd96, c9fdcf2d-1014-4c9e-981c-10c81cf80bee
d3400712-9910-4bff-9565-7c707e1c9e0c, d62ee722-8868-46a3-863a-f60b51eccd96, c9fdcf2d-1014-4c9e-981c-10c81cf80bee
d3400712-9910-4bff-9565-7c707e1c9e0c, d62ee722-8868-46a3-863a-f60b51eccd96, c9fdcf2d-1014-4c9e-981c-10c81cf80bee
d3400712-9910-4bff-9565-7c707e1c9e0c, 96f210d3-aa70-4c81-a3e7-86e8675c7dcc, 562bf717-8a19-4f3c-ab2f-e11f947a0e89
d3400712-9910-4bff-9565-7c707e1c9e0c, 96f210d3-aa70-4c81-a3e7-86e8675c7dcc, 562bf717-8a19-4f3c-ab2f-e11f947a0e89
2d8411f2-716e-414f-a4d2-4d55b6577b47, 446e3d82-43de-421e-a396-7bfcc01883f8, 9497fd61-2b2e-467c-a544-b596787b2f4c
2d8411f2-716e-414f-a4d2-4d55b6577b47, d62ee722-8868-46a3-863a-f60b51eccd96, c0a7e5c9-5cde-401f-812c-70d93c09ba3f
2d8411f2-716e-414f-a4d2-4d55b6577b47, d62ee722-8868-46a3-863a-f60b51eccd96, c0a7e5c9-5cde-401f-812c-70d93c09ba3f
2d8411f2-716e-414f-a4d2-4d55b6577b47, d62ee722-8868-46a3-863a-f60b51eccd96, c0a7e5c9-5cde-401f-812c-70d93c09ba3f
37a0d69e-5adc-4664-9eb6-9599f7d5e120, 96f210d3-aa70-4c81-a3e7-86e8675c7dcc, f3908a26-cb71-40a0-84d6-ccfd1c2fdda9
37a0d69e-5adc-4664-9eb6-9599f7d5e120, d62ee722-8868-46a3-863a-f60b51eccd96, c0a7e5c9-5cde-401f-812c-70d93c09ba3f
37a0d69e-5adc-4664-9eb6-9599f7d5e120, 446e3d82-43de-421e-a396-7bfcc01883f8, 9497fd61-2b2e-467c-a544-b596787b2f4c
37a0d69e-5adc-4664-9eb6-9599f7d5e120, d62ee722-8868-46a3-863a-f60b51eccd96, c0a7e5c9-5cde-401f-812c-70d93c09ba3f
37a0d69e-5adc-4664-9eb6-9599f7d5e120, 446e3d82-43de-421e-a396-7bfcc01883f8, 9497fd61-2b2e-467c-a544-b596787b2f4c
37a0d69e-5adc-4664-9eb6-9599f7d5e120, d62ee722-8868-46a3-863a-f60b51eccd96, c0a7e5c9-5cde-401f-812c-70d93c09ba3f
37a0d69e-5adc-4664-9eb6-9599f7d5e120, 446e3d82-43de-421e-a396-7bfcc01883f8, 9497fd61-2b2e-467c-a544-b596787b2f4c
37a0d69e-5adc-4664-9eb6-9599f7d5e120, 446e3d82-43de-421e-a396-7bfcc01883f8, 9497fd61-2b2e-467c-a544-b596787b2f4c
37a0d69e-5adc-4664-9eb6-9599f7d5e120, 96f210d3-aa70-4c81-a3e7-86e8675c7dcc, f3908a26-cb71-40a0-84d6-ccfd1c2fdda9
dd4e381a-00a9-4327-9cc1-f3982e7d2d8c, d62ee722-8868-46a3-863a-f60b51eccd96, 84cf59af-4774-4d64-ad50-dd514a0aabf0
dd4e381a-00a9-4327-9cc1-f3982e7d2d8c, d62ee722-8868-46a3-863a-f60b51eccd96, 84cf59af-4774-4d64-ad50-dd514a0aabf0
dd4e381a-00a9-4327-9cc1-f3982e7d2d8c, 446e3d82-43de-421e-a396-7bfcc01883f8, 8dd6a22e-8708-4246-b59a-8696a456bb06
dd4e381a-00a9-4327-9cc1-f3982e7d2d8c, d62ee722-8868-46a3-863a-f60b51eccd96, 84cf59af-4774-4d64-ad50-dd514a0aabf0
dd4e381a-00a9-4327-9cc1-f3982e7d2d8c, 446e3d82-43de-421e-a396-7bfcc01883f8, 8dd6a22e-8708-4246-b59a-8696a456bb06
dd4e381a-00a9-4327-9cc1-f3982e7d2d8c, d62ee722-8868-46a3-863a-f60b51eccd96, 84cf59af-4774-4d64-ad50-dd514a0aabf0
dd4e381a-00a9-4327-9cc1-f3982e7d2d8c, 96f210d3-aa70-4c81-a3e7-86e8675c7dcc, 88036988-4c2f-4fbf-b06e-3012b165ac1e
dd4e381a-00a9-4327-9cc1-f3982e7d2d8c, 96f210d3-aa70-4c81-a3e7-86e8675c7dcc, 88036988-4c2f-4fbf-b06e-3012b165ac1e
dd4e381a-00a9-4327-9cc1-f3982e7d2d8c, 96f210d3-aa70-4c81-a3e7-86e8675c7dcc, 88036988-4c2f-4fbf-b06e-3012b165ac1e
264edb65-d381-416d-8567-66a43fe2ca19, 446e3d82-43de-421e-a396-7bfcc01883f8, 4f78f766-2713-47e3-8aec-0f2b0249cf8b
264edb65-d381-416d-8567-66a43fe2ca19, 446e3d82-43de-421e-a396-7bfcc01883f8, 4f78f766-2713-47e3-8aec-0f2b0249cf8b
264edb65-d381-416d-8567-66a43fe2ca19, 446e3d82-43de-421e-a396-7bfcc01883f8, 4f78f766-2713-47e3-8aec-0f2b0249cf8b
264edb65-d381-416d-8567-66a43fe2ca19, d62ee722-8868-46a3-863a-f60b51eccd96, 8f3af104-ece6-480b-b59b-1a786a803eb8
264edb65-d381-416d-8567-66a43fe2ca19, d62ee722-8868-46a3-863a-f60b51eccd96, 8f3af104-ece6-480b-b59b-1a786a803eb8
264edb65-d381-416d-8567-66a43fe2ca19, 446e3d82-43de-421e-a396-7bfcc01883f8, 4f78f766-2713-47e3-8aec-0f2b0249cf8b
264edb65-d381-416d-8567-66a43fe2ca19, 446e3d82-43de-421e-a396-7bfcc01883f8, 4f78f766-2713-47e3-8aec-0f2b0249cf8b
2e8549c4-81e2-4dea-be14-8da17a5770c0, 96f210d3-aa70-4c81-a3e7-86e8675c7dcc, 88036988-4c2f-4fbf-b06e-3012b165ac1e
2e8549c4-81e2-4dea-be14-8da17a5770c0, 96f210d3-aa70-4c81-a3e7-86e8675c7dcc, 88036988-4c2f-4fbf-b06e-3012b165ac1e
2e8549c4-81e2-4dea-be14-8da17a5770c0, 446e3d82-43de-421e-a396-7bfcc01883f8, 8dd6a22e-8708-4246-b59a-8696a456bb06
2e8549c4-81e2-4dea-be14-8da17a5770c0, d62ee722-8868-46a3-863a-f60b51eccd96, 84cf59af-4774-4d64-ad50-dd514a0aabf0
4e7c5d63-bd38-4c18-b015-24ff1f52ffe9, d62ee722-8868-46a3-863a-f60b51eccd96, 7284e763-b0ef-4884-9536-b7b252903863
4e7c5d63-bd38-4c18-b015-24ff1f52ffe9, d62ee722-8868-46a3-863a-f60b51eccd96, 7284e763-b0ef-4884-9536-b7b252903863
4e7c5d63-bd38-4c18-b015-24ff1f52ffe9, d62ee722-8868-46a3-863a-f60b51eccd96, 7284e763-b0ef-4884-9536-b7b252903863
4e7c5d63-bd38-4c18-b015-24ff1f52ffe9, 96f210d3-aa70-4c81-a3e7-86e8675c7dcc, e6c08949-fdca-47cb-8c57-5989759b0e41
4e7c5d63-bd38-4c18-b015-24ff1f52ffe9, 96f210d3-aa70-4c81-a3e7-86e8675c7dcc, e6c08949-fdca-47cb-8c57-5989759b0e41
4e7c5d63-bd38-4c18-b015-24ff1f52ffe9, d62ee722-8868-46a3-863a-f60b51eccd96, 7284e763-b0ef-4884-9536-b7b252903863
4e7c5d63-bd38-4c18-b015-24ff1f52ffe9, 96f210d3-aa70-4c81-a3e7-86e8675c7dcc, e6c08949-fdca-47cb-8c57-5989759b0e41
4e7c5d63-bd38-4c18-b015-24ff1f52ffe9, 96f210d3-aa70-4c81-a3e7-86e8675c7dcc, e6c08949-fdca-47cb-8c57-5989759b0e41
4e7c5d63-bd38-4c18-b015-24ff1f52ffe9, 446e3d82-43de-421e-a396-7bfcc01883f8, 39f4c46b-9141-4f3e-88f7-5e3abdae009a
302d257b-0a8f-4f00-bdea-d43761e0ea85, d62ee722-8868-46a3-863a-f60b51eccd96, c6263a0e-4a4f-48dd-bb9f-f52ab1893fa7
302d257b-0a8f-4f00-bdea-d43761e0ea85, 446e3d82-43de-421e-a396-7bfcc01883f8, 0d3f00e4-6f3a-41a3-943c-7bd2eae7aacb
302d257b-0a8f-4f00-bdea-d43761e0ea85, 446e3d82-43de-421e-a396-7bfcc01883f8, 0d3f00e4-6f3a-41a3-943c-7bd2eae7aacb
302d257b-0a8f-4f00-bdea-d43761e0ea85, 96f210d3-aa70-4c81-a3e7-86e8675c7dcc, b41d72cf-d82e-4f9e-90d9-ef5161bb5825
5f2b9d4b-a564-4feb-9a4f-03423789bab2, 446e3d82-43de-421e-a396-7bfcc01883f8, 9497fd61-2b2e-467c-a544-b596787b2f4c
5f2b9d4b-a564-4feb-9a4f-03423789bab2, 446e3d82-43de-421e-a396-7bfcc01883f8, 9497fd61-2b2e-467c-a544-b596787b2f4c
5f2b9d4b-a564-4feb-9a4f-03423789bab2, 446e3d82-43de-421e-a396-7bfcc01883f8, 9497fd61-2b2e-467c-a544-b596787b2f4c
5f2b9d4b-a564-4feb-9a4f-03423789bab2, 446e3d82-43de-421e-a396-7bfcc01883f8, 9497fd61-2b2e-467c-a544-b596787b2f4c
7ee53f2e-0d84-4e37-9d6c-9a568b826890, 96f210d3-aa70-4c81-a3e7-86e8675c7dcc, b41d72cf-d82e-4f9e-90d9-ef5161bb5825
7ee53f2e-0d84-4e37-9d6c-9a568b826890, 446e3d82-43de-421e-a396-7bfcc01883f8, 0d3f00e4-6f3a-41a3-943c-7bd2eae7aacb
7ee53f2e-0d84-4e37-9d6c-9a568b826890, d62ee722-8868-46a3-863a-f60b51eccd96, c6263a0e-4a4f-48dd-bb9f-f52ab1893fa7
7ee53f2e-0d84-4e37-9d6c-9a568b826890, d62ee722-8868-46a3-863a-f60b51eccd96, c6263a0e-4a4f-48dd-bb9f-f52ab1893fa7
7ee53f2e-0d84-4e37-9d6c-9a568b826890, 96f210d3-aa70-4c81-a3e7-86e8675c7dcc, b41d72cf-d82e-4f9e-90d9-ef5161bb5825
