UUID, Level, Field, Name
c0a7e5c9-5cde-401f-812c-70d93c09ba3f, 06c34f30-c3e7-4330-933d-e2daf64e05b3, b0494f23-3d86-4400-bbe1-5a1435b1cf3a, Maths 10
8f3af104-ece6-480b-b59b-1a786a803eb8, 06c34f30-c3e7-4330-933d-e2daf64e05b3, 4f86fa74-97a1-460b-aeec-05fc74fc5ee2, Physics 10
5d8d4e94-b8ce-40e2-adba-3f37376b66ef, 06c34f30-c3e7-4330-933d-e2daf64e05b3, 2c79c9fe-aedc-4740-a494-cdcf704735a7, Chemistry 10
ae7ca065-9109-4d71-bf5c-ffa051abb9f4, 06c34f30-c3e7-4330-933d-e2daf64e05b3, b29793ed-f43a-4bb2-892e-d8958c61e4a1, Literature 10
c9fdcf2d-1014-4c9e-981c-10c81cf80bee, 06c34f30-c3e7-4330-933d-e2daf64e05b3, 53058bd8-6966-4e63-8048-5fe87c8c9d88, Language 10
84cf59af-4774-4d64-ad50-dd514a0aabf0, 06c34f30-c3e7-4330-933d-e2daf64e05b3, 1d1edd33-d259-4a26-acde-9c0a60291ce7, History 10
e1e4582b-6628-4cc4-ad82-32f95c2169c9, 06c34f30-c3e7-4330-933d-e2daf64e05b3, 1df552f2-839c-41e2-91c4-51d72174a138, Geography 10
7284e763-b0ef-4884-9536-b7b252903863, 06c34f30-c3e7-4330-933d-e2daf64e05b3, 9c17f3f9-97d9-4b19-ad5a-37edfebfb629, Art 10
c6263a0e-4a4f-48dd-bb9f-f52ab1893fa7, 06c34f30-c3e7-4330-933d-e2daf64e05b3, 6fc2859d-fb19-4140-9d2f-de331719376a, Music 10
2098bc56-4f46-4221-8f3e-2f7450b14053, 06c34f30-c3e7-4330-933d-e2daf64e05b3, c8b64133-021f-46b4-9101-f4a20bc58d88, Biology 10
9497fd61-2b2e-467c-a544-b596787b2f4c, e0f69848-3c28-4384-bb53-13be1f7ee564, b0494f23-3d86-4400-bbe1-5a1435b1cf3a, Maths 11
4f78f766-2713-47e3-8aec-0f2b0249cf8b, e0f69848-3c28-4384-bb53-13be1f7ee564, 4f86fa74-97a1-460b-aeec-05fc74fc5ee2, Physics 11
5281af01-4b95-465b-b792-bf144158a98c, e0f69848-3c28-4384-bb53-13be1f7ee564, 2c79c9fe-aedc-4740-a494-cdcf704735a7, Chemistry 11
fee8b6f9-544b-47ac-9ef4-26e8fa5a81fe, e0f69848-3c28-4384-bb53-13be1f7ee564, b29793ed-f43a-4bb2-892e-d8958c61e4a1, Literature 11
cf8399a0-c8da-4241-9996-24bef1651c2f, e0f69848-3c28-4384-bb53-13be1f7ee564, 53058bd8-6966-4e63-8048-5fe87c8c9d88, Language 11
8dd6a22e-8708-4246-b59a-8696a456bb06, e0f69848-3c28-4384-bb53-13be1f7ee564, 1d1edd33-d259-4a26-acde-9c0a60291ce7, History 11
9ff2e9e6-ad07-4d9d-960f-e4d63a431943, e0f69848-3c28-4384-bb53-13be1f7ee564, 1df552f2-839c-41e2-91c4-51d72174a138, Geography 11
39f4c46b-9141-4f3e-88f7-5e3abdae009a, e0f69848-3c28-4384-bb53-13be1f7ee564, 9c17f3f9-97d9-4b19-ad5a-37edfebfb629, Art 11
0d3f00e4-6f3a-41a3-943c-7bd2eae7aacb, e0f69848-3c28-4384-bb53-13be1f7ee564, 6fc2859d-fb19-4140-9d2f-de331719376a, Music 11
ca736a8d-2247-4a36-98e0-509d01966fc2, e0f69848-3c28-4384-bb53-13be1f7ee564, c8b64133-021f-46b4-9101-f4a20bc58d88, Biology 11
f3908a26-cb71-40a0-84d6-ccfd1c2fdda9, 53985d57-36ee-4391-8f94-bbf3f1ad46eb, b0494f23-3d86-4400-bbe1-5a1435b1cf3a, Maths 12
c9bc6bfc-0902-419e-8c47-78ec67ae77ff, 53985d57-36ee-4391-8f94-bbf3f1ad46eb, 4f86fa74-97a1-460b-aeec-05fc74fc5ee2, Physics 12
055d469f-2640-4cb4-929a-664a35990e3f, 53985d57-36ee-4391-8f94-bbf3f1ad46eb, 2c79c9fe-aedc-4740-a494-cdcf704735a7, Chemistry 12
fa90e422-1e3e-4a78-8e0b-b7624c8775b9, 53985d57-36ee-4391-8f94-bbf3f1ad46eb, b29793ed-f43a-4bb2-892e-d8958c61e4a1, Literature 12
562bf717-8a19-4f3c-ab2f-e11f947a0e89, 53985d57-36ee-4391-8f94-bbf3f1ad46eb, 53058bd8-6966-4e63-8048-5fe87c8c9d88, Language 12
88036988-4c2f-4fbf-b06e-3012b165ac1e, 53985d57-36ee-4391-8f94-bbf3f1ad46eb, 1d1edd33-d259-4a26-acde-9c0a60291ce7, History 12
b697d1ef-fe7d-4826-ad92-1c3ccd68f633, 53985d57-36ee-4391-8f94-bbf3f1ad46eb, 1df552f2-839c-41e2-91c4-51d72174a138, Geography 12
e6c08949-fdca-47cb-8c57-5989759b0e41, 53985d57-36ee-4391-8f94-bbf3f1ad46eb, 9c17f3f9-97d9-4b19-ad5a-37edfebfb629, Art 12
b41d72cf-d82e-4f9e-90d9-ef5161bb5825, 53985d57-36ee-4391-8f94-bbf3f1ad46eb, 6fc2859d-fb19-4140-9d2f-de331719376a, Music 12
561f37e3-396d-4665-8b78-ba6619247bcb, 53985d57-36ee-4391-8f94-bbf3f1ad46eb, c8b64133-021f-46b4-9101-f4a20bc58d88, Biology 12
