Subject, Student, Grade
8f3af104-ece6-480b-b59b-1a786a803eb8, 14ec3278-42db-435d-ba3e-66067164b1f1, 24
8f3af104-ece6-480b-b59b-1a786a803eb8, 14ec3278-42db-435d-ba3e-66067164b1f1, 15
8f3af104-ece6-480b-b59b-1a786a803eb8, 14ec3278-42db-435d-ba3e-66067164b1f1, 67
c9fdcf2d-1014-4c9e-981c-10c81cf80bee, 14ec3278-42db-435d-ba3e-66067164b1f1, 67
c9fdcf2d-1014-4c9e-981c-10c81cf80bee, 14ec3278-42db-435d-ba3e-66067164b1f1, 55
c9fdcf2d-1014-4c9e-981c-10c81cf80bee, 14ec3278-42db-435d-ba3e-66067164b1f1, 27
c9fdcf2d-1014-4c9e-981c-10c81cf80bee, 14ec3278-42db-435d-ba3e-66067164b1f1, 19
c9fdcf2d-1014-4c9e-981c-10c81cf80bee, 14ec3278-42db-435d-ba3e-66067164b1f1, 9
c9fdcf2d-1014-4c9e-981c-10c81cf80bee, 14ec3278-42db-435d-ba3e-66067164b1f1, 36
c0a7e5c9-5cde-401f-812c-70d93c09ba3f, 14ec3278-42db-435d-ba3e-66067164b1f1, 69
c0a7e5c9-5cde-401f-812c-70d93c09ba3f, 14ec3278-42db-435d-ba3e-66067164b1f1, 8
c0a7e5c9-5cde-401f-812c-70d93c09ba3f, 14ec3278-42db-435d-ba3e-66067164b1f1, 99
c0a7e5c9-5cde-401f-812c-70d93c09ba3f, 14ec3278-42db-435d-ba3e-66067164b1f1, 36
c0a7e5c9-5cde-401f-812c-70d93c09ba3f, 14ec3278-42db-435d-ba3e-66067164b1f1, 37
c0a7e5c9-5cde-401f-812c-70d93c09ba3f, 14ec3278-42db-435d-ba3e-66067164b1f1, 55
84cf59af-4774-4d64-ad50-dd514a0aabf0, 14ec3278-42db-435d-ba3e-66067164b1f1, 4
84cf59af-4774-4d64-ad50-dd514a0aabf0, 14ec3278-42db-435d-ba3e-66067164b1f1, 36
84cf59af-4774-4d64-ad50-dd514a0aabf0, 14ec3278-42db-435d-ba3e-66067164b1f1, 46
84cf59af-4774-4d64-ad50-dd514a0aabf0, 14ec3278-42db-435d-ba3e-66067164b1f1, 34
8f3af104-ece6-480b-b59b-1a786a803eb8, 14ec3278-42db-435d-ba3e-66067164b1f1, 20
8f3af104-ece6-480b-b59b-1a786a803eb8, 14ec3278-42db-435d-ba3e-66067164b1f1, 84
84cf59af-4774-4d64-ad50-dd514a0aabf0, 14ec3278-42db-435d-ba3e-66067164b1f1, 60
7284e763-b0ef-4884-9536-b7b252903863, 14ec3278-42db-435d-ba3e-66067164b1f1, 52
7284e763-b0ef-4884-9536-b7b252903863, 14ec3278-42db-435d-ba3e-66067164b1f1, 51
7284e763-b0ef-4884-9536-b7b252903863, 14ec3278-42db-435d-ba3e-66067164b1f1, 38
7284e763-b0ef-4884-9536-b7b252903863, 14ec3278-42db-435d-ba3e-66067164b1f1, 1
c6263a0e-4a4f-48dd-bb9f-f52ab1893fa7, 14ec3278-42db-435d-ba3e-66067164b1f1, 93
c6263a0e-4a4f-48dd-bb9f-f52ab1893fa7, 14ec3278-42db-435d-ba3e-66067164b1f1, 41
c6263a0e-4a4f-48dd-bb9f-f52ab1893fa7, 14ec3278-42db-435d-ba3e-66067164b1f1, 72
7284e763-b0ef-4884-9536-b7b252903863, 14ec3278-42db-435d-ba3e-66067164b1f1, 68
7284e763-b0ef-4884-9536-b7b252903863, 14ec3278-42db-435d-ba3e-66067164b1f1, 54
7284e763-b0ef-4884-9536-b7b252903863, 14ec3278-42db-435d-ba3e-66067164b1f1, 96
5d8d4e94-b8ce-40e2-adba-3f37376b66ef, 14ec3278-42db-435d-ba3e-66067164b1f1, 4
ae7ca065-9109-4d71-bf5c-ffa051abb9f4, 14ec3278-42db-435d-ba3e-66067164b1f1, 87
ae7ca065-9109-4d71-bf5c-ffa051abb9f4, 14ec3278-42db-435d-ba3e-66067164b1f1, 26
ae7ca065-9109-4d71-bf5c-ffa051abb9f4, 14ec3278-42db-435d-ba3e-66067164b1f1, 83
ae7ca065-9109-4d71-bf5c-ffa051abb9f4, 14ec3278-42db-435d-ba3e-66067164b1f1, 10
ae7ca065-9109-4d71-bf5c-ffa051abb9f4, 14ec3278-42db-435d-ba3e-66067164b1f1, 7
ae7ca065-9109-4d71-bf5c-ffa051abb9f4, 14ec3278-42db-435d-ba3e-66067164b1f1, 90
